context,question,A,B,C,D,result
"Để phòng_ngừa bệnh suy tuyến_thượng_thận , cần chú_ý những vấn_đề chính sau : Không nên tự_ý sử_dụng thuốc khi chưa có chỉ_dẫn của bác_sĩ . Không hút thuốc và lạm_dụng các chất có cồn . Đảm_bảo chế_độ sinh_hoạt khoa_học , tập_luyện thể_dục hàng ngày . Thăm_khám bác_sĩ thường_xuyên để kịp_thời phát_hiện bệnh và có phác_đồ điều_trị kịp_thời . Những đối_tượng sau có nguy_cơ cao bị bệnh suy tuyến_thượng_thận : Đã trải qua những chấn_thương về thể_chất hoặc căng_thẳng . nan . nan . Những người dùng thuốc glucocorticoid , chẳng_hạn như prednisone , dexamethasone trong một thời_gian dài và sau đó dừng lại có nhiều khả_năng bị suy thượng_thận đệ tam_cấp .","Suy tuyến_thượng_thận có nhiều nguyên_nhân khác nhau gây ra , khi mắc suy tuyến_thượng_thận sức_khoẻ của người_bệnh sẽ giảm_sút nhanh_chóng . Để phòng_ngừa suy tuyến_thượng_thận cần thực_hiện những biện_pháp nào sau đây ?","Tránh căng_thẳng , lo_âu .",Tập_thể_dục hàng ngày .,Khám sức_khoẻ định_kỳ .,Dừng ngay thuốc Corticoid khi đã sử_dụng thuốc một thời_gian dài .,"A , B , C."
"Làm_sao để phòng_ngừa bệnh gai đen ? Để phòng_ngừa bệnh gai đen , chúng_ta có_thể điều_trị và kiểm_soát các yếu_tố nguy_cơ của bệnh . Béo phì : kiểm_soát cân nặng , chế_độ ăn_uống lành_mạnh và tập_luyện thể_dục thể_thao hợp_lý sẽ giúp cải_thiện tình_trạng đề_kháng insulin , từ đó sẽ góp_phần phòng_ngừa bệnh gai đen . Điều_trị các tình_trạng sức_khoẻ liên_quan đến bệnh gai đen , ví_dụ như điều_trị suy giáp . Tránh và hạn_chế sử_dụng các loại thuốc , chất bổ_sung có_thể làm nặng_tình_trạng bệnh hoặc tăng nguy_cơ mắc bệnh như thuốc ngừa thai , prednisone , corticosteroid , chất bổ_sung ( niacin liều cao . ) . nan . nan . nan . nan .","Chị Lan là người thừa cân , chị có nghe nói qua về bệnh gai đen và không muốn bị bệnh . Chị nên làm gì để có_thể phòng_ngừa bệnh ?",Chị nên dùng thêm các loại hoá_mỹ_phẩm để bảo_vệ da .,Điều_trị các tình_trạng sức_khoẻ như điều_trị suy giáp .,"Chị nên giảm cân , kết_hợp chế_độ ăn_uống lành_mạnh và tập_luyện thể_dục thể_thao hợp_lý .","Tránh dùng các loại thuốc như thuốc tránh thai , chất bổ_sung ( niacin liều cao ) .","B , C , D."
"Khi bị lao hạch , người_bệnh có biểu_hiện chính là sưng to một hoặc nhiều hạch . Hạch tăng kích_thước dần_dần nên người bệnh thường không biết rõ hạch xuất_hiện từ thời_điểm nào . Hạch to dần , không đau , mật_độ chắc , bề_mặt nhẵn , da vùng hạch sưng to không nóng , không tấy đỏ . Thường thấy nhiều hạch cùng bị sưng , tập_hợp thành một chuỗi , cũng có_khi chỉ gặp một hạch đơn_độc vùng cổ sưng to . Hạch lao phát_triển qua 3 giai_đoạn sau : Giai_đoạn đầu hạch bắt_đầu sưng to , không đều nhau di_động còn dễ vì chưa dính vào nhau và chưa dính vào da . Bệnh có_thể chỉ dừng ở giai_đoạn này hoặc chuyển sang giai_đoạn viêm hạch và viêm quanh hạch . Giai_đoạn sau gọi biểu_hiện viêm hạch và viêm quanh hạch . Lúc này các hạch lớn hơn , do có viêm các tổ_chức quanh hạch nên có_thể dính với nhau thành mảng hoặc chuỗi , hoặc dính vào da và các tổ_chức xung_quanh làm hạch hạn_chế di_động . Giai_đoạn nhuyễn hoá : các hạch mềm dần , sờ thấy lùng_nhùng , da vùng hạch sưng tấy đỏ , không nóng và không đau , có_thể thấy đỉnh mũ . Khi đã hoá mủ hạch dễ vỡ tạo những lỗ rò lâu liền , miệng lỗ rò tím ngắt và tạo thành sẹo nhăn_nhúm , lồi hoặc những dây_chằng xơ gây mất thẩm_mỹ . Mủ chảy ra thường có màu xanh nhạt , không dính , trong mủ có bã đậu lổn_nhổn . Trong quá_trình mắc bệnh lao hạch , tổng trạng không bị ảnh_hưởng nhiều , đôi_khi có sốt nhẹ hay mệt_mỏi . Ngoại_trừ bị bội_nhiễm hay kèm theo tổn_thương lao ở các cơ_quan khác như phổi , xương . Triệu_chứng toàn_thân sẽ biểu_hiện nặng_nề hơn . Bệnh lao hạch ở thể khối_u hay còn gọi là viêm hạch lao phì đại thường có biểu_hiện : xuất_hiện khối_u ở cổ , thấy một hay vài hạch nổi to , sau dính thành một khối , không đau , không đỏ , di_động , sờ chắc . Khối_u to dần , chiếm gần hết vùng cổ làm biến_dạng cổ bệnh_nhân . Các hạch ở những nơi khác như dưới hàm , mang_tai . Cũng bị phì đại . Viêm hạch lao phì đại thường rất khó điều_trị dứt_điểm . Thể bệnh này rất ít gặp . nan . nan . nan . nan .","Bệnh lao hạch ở thể khối_u hay còn gọi là viêm hạch lao phì đại thường có biểu_hiện : xuất_hiện khối_u ở cổ , thấy một hay vài hạch nổi to , sau dính thành một khối , không đau , không đỏ , di_động , sờ chắc . Khối_u to dần , chiếm gần hết vùng cổ làm biến_dạng cổ bệnh_nhân . Trong các biểu_hiện sau , câu nào sai về dấu_hiệu chính của bệnh lao hạch ?","Hạch sưng to , đau , mật_độ mềm , bề_mặt nhám , da vùng hạch sưng to nóng và đỏ .","Hạch sưng to , không đau , mật_độ chắc , bề_mặt nhẵn , da vùng hạch sưng to không nóng , không tấy đỏ .","Hạch không sưng , không đau , mật_độ chắc , bề_mặt nhẵn , da vùng hạch không nóng , không tấy đỏ .","Hạch sưng to , đau , mật_độ chắc , bề_mặt nhẵn , da vùng hạch sưng to nóng và đỏ .","A , C , D."
"Chẩn_đoán tiền sản_giật bằng cách : Khám lâm_sàng : tăng huyết_áp , phù . Xét_nghiệm : Xét_nghiệm nước_tiểu : protein niệu . Xét_nghiệm máu : đánh_giá chức_năng thận . Chẩn_đoán độ nặng của bệnh . Tiền sản_giật nhẹ . Tiền sản_giật nặng : khi có một_số triệu_chứng sau . Protein niệu test nhanh 2 + trở lên hay > 2 g / 24 giờ . Đau vùng thượng_vị hay hạ sườn phải . Giảm tiểu_cầu . Có dấu_hiệu suy tim , phù phổi cấp . Rối_loạn tri_giác . nan . nan . nan . nan .","Có nhiều phương_pháp chuẩn đoán tiền sản_giật , trong số đó có rất nhiều phương_pháp dùng để xét_nghiệm cơ_thể . Đâu là phương_pháp chuẩn đoán bệnh tiền giật để có_thể biết được bệnh_nhân bị tiền sản_giật nặng ?",Xét_nghiệm nước_tiểu .,Xét_nghiệm máu .,Khám lâm_sàng .,Xem_xét chức_năng thận .,A.
"Viêm ống dẫn trứng có_thể được phòng_ngừa bằng nhiều biện_pháp đơn_giản như : Thường_xuyên vệ_sinh sạch_sẽ vùng kín , đặc_biệt lưu_ý trong những ngày hành_kinh . Vệ_sinh trước và sau quan_hệ tình_dục . Có đời_sống lành_mạnh , không quan_hệ tình_dục bừa_bãi . Sử_dụng các biện_pháp tránh thai nếu chưa có ý_định có_thai . Việc mang thai ngoài ý_muốn sẽ làm tăng tỷ_lệ nạo_phá thai không an_toàn , gây nên những hậu_quả nghiêm_trọng cho sức_khoẻ sinh_sản của nữ_giới , trong đó bao_gồm cả viêm_nhiễm ống dẫn trứng nói_riêng và viêm_nhiễm vùng chậu nói_chung . Khi có các biểu_hiện bất_thường như đau bụng_dưới , đau lưng , khí_hư âm_đạo hôi , giao_hợp đau , nhiễm_trùng đường tiểu , rối_loạn kinh_nguyệt , nên đến khám bác_sĩ kịp_thời . nan . nan . nan . nan .","Chị_Bích 35 tuổi , chị rất lo_sợ về việc mình có_thể bị mắc các bệnh phụ_khoa . Chị được biết bệnh viêm ống dẫn trứng nếu không được phát_hiện và điều_trị kịp_thời có_thể gây ra những biến_chứng vô_sinh hoặc khó có con . Hãy đưa ra những biện_pháp phòng_ngừa để chị Bích có_thể tham_khảo ?",Quan_hệ tình_dục an_toàn .,Chỉ vệ_sinh vùng kín những ngày thường .,Sử_dụng thuốc tránh thai đúng cách .,Ăn_uống khoa_học .,"A , C , D."
"Các lứa tuổi khác nhau thường gặp phải các tác_nhân gây bệnh khác nhau . Đa_số trường_hợp gây ra viêm phổi ở trẻ_em là virus , bao_gồm RSV ( Respiratory_Syncytial_Virus ) , Adenovirus , Parainfluenza virus , Influenza virus . Những chủng virus này có_thể lây_lan nhanh theo đường hô_hấp , đặc_biệt là trong thời_tiết thay_đổi đột_ngột , giao mùa , điều_kiện vệ_sinh môi_trường không tốt . Ngoài_ra cũng có những trường_hợp mắc viêm phổi do vi_khuẩn , thường gặp nhất_là Streptococcus pneumoniae , Haemophilus influenzae , Staphylococcus aureus . Trẻ sinh non , suy_dinh_dưỡng , mắc các dị_tật bẩm_sinh đều có nguy_cơ viêm phổi cao hơn các trẻ khác . Có bệnh_lý nền mãn_tính như hen_suyễn , xơ nang , tim bẩm_sinh , đái_tháo_đường , tăng động giảm chú_ý , trầm_cảm … . nan . nan . Ngoài những nguyên_nhân dẫn đến viêm phổi ở trẻ nhỏ kể trên , viêm phổi ở trẻ_em và viêm phổi ở trẻ sơ_sinh còn do ký_sinh_trùng , lao , nấm , môi_trường sống ô_nhiễm .","Trẻ sinh non , suy_dinh_dưỡng , có dị_tật dễ mắc viêm phổi hơn so với phần_đông những đứa trẻ còn lại . Vì sao những đứa trẻ có bệnh nền thì dễ mắc viêm phổi hơn như_thế ?",Do có bệnh_lý nền mãn_tính .,Trẻ có hệ_thống miễn_dịch yếu .,Phổi yếu hoặc có vấn_đề về hệ hô_hấp .,"Do ký_sinh_trùng , lao , nấm , môi_trường sống ô_nhiễm .","B , C."
Hội_chứng Lyell phụ_thuộc vào cơ_địa dị_ứng của từng người nên việc phòng_bệnh không phải lúc_nào cũng phòng_bệnh . Tuy_nhiên khi tránh không tiếp_xúc với các dị_nguyên bệnh hoàn_toàn không xuất_hiện . Vì_vậy đối_với những người có tiền_sử dị_ứng cần tránh các tác_nhân dị_ứng đặc_biệt là khi dị_ứng với các loại thuốc . Cần ghi_chép cẩn_thận với các loại dị_nguyên để đảm_bảo không tiếp_xúc lại . nan . nan . nan . nan .,"Sau khi kiểm_tra sức_khoẻ tại trung_tâm y_tế gần nhà , chị Hoà được bác_sĩ chẩn_đoán mắc hội_chứng Lyell . Bác_sĩ cũng cung_cấp cho chị Hoà một_số thông_tin về các biện_pháp phòng_ngừa của hội_chứng Lyell . Vậy trong các ý_kiến sau đây , ý_kiến nào đúng khi nói về các biện_pháp phòng_ngừa của hội_chứng Lyell ?",Tiêm phòng vắcxin đầy_đủ .,Ăn nhiều loại thực_phẩm tốt cho sức_khoẻ từ tất_cả các nhóm thực_phẩm .,"Không nên uống nhiều bia , rượu và không nên hút thuốc_lá .",Đối_với những người có tiền_sử dị_ứng cần tránh các tác_nhân dị_ứng đặc_biệt là khi dị_ứng với các loại thuốc .,D.
"Nhiều yếu_tố có_thể góp_phần gây táo_bón trẻ_em , bao_gồm : Nhịn đi_đại_tiện : Do trẻ không để_ý đến nhu_cầu của cơ_thể khi muốn đi vệ_sinh do mải chơi hoặc một_số trẻ không muốn đi vệ_sinh công_cộng và chờ đến khi về nhà để đi . Trẻ sợ đi_đại_tiện đo khối phân lớn trong đại_tràng gây đau khi trẻ phải rặn . Vấn_đề tập_luyện đi_đại_tiện ( Toilet training ) : Một_số phụ_huynh tập_luyện đi_đại_tiện cho trẻ quá sớm dẫn tới trẻ cáu_gắt và giữ phân , không muốn đi vệ_sinh . Từ việc tập_luyện giống như một cuộc_chiến với trẻ , trẻ sẽ bỏ_qua những kích_thích muốn đi_đại_tiện và theo thời_gian nó sẽ trở_thành thói_quen không tốt của trẻ . Thay_đổi chế_độ ăn_uống . Không đủ trái_cây và rau quả giàu chất xơ hoặc chất_lỏng trong chế_độ ăn của trẻ có_thể gây táo_bón . Một trong những thời_điểm phổ_biến khiến trẻ bị táo_bón là khi chuyển từ chế_độ ăn toàn hoàn_toàn bằng sữa mẹ sang chế_độ ăn dặm . Thay_đổi thói_quen . Mọi thay_đổi trong thói_quen của trẻ - như đi du_lịch , thời_tiết nóng hoặc căng_thẳng - có_thể ảnh_hưởng đến chức_năng ruột . Trẻ_em có nhiều khả_năng bị táo_bón ở thời_gian bắt_đầu đi học . Thuốc . Một_số thuốc chống trầm_cảm và các loại thuốc khác có_thể góp_phần gây táo_bón . Dị_ứng sữa bò . Dị_ứng với sữa bò hoặc tiêu_thụ quá nhiều sản_phẩm từ sữa ( phô_mai và sữa bò ) đôi_khi cũng dẫn đến táo_bón . Tiền_sử gia_đình . Trẻ_em có thành_viên gia_đình bị táo_bón có nhiều khả_năng bị táo_bón . Điều này có_thể là do các yếu_tố di_truyền hoặc sống chung với nhau . Tác_dụng phụ của một_số loại thuốc Ăn_kiêng Các bệnh về hệ tiêu_hoá Ăn ít chất xơ Lười vận_động Nhìn đi_ngoài Không uống đủ nước . Tác_dụng phụ của một_số loại thuốc Ăn_kiêng Các bệnh về hệ tiêu_hoá Ăn ít chất xơ Lười vận_động Nhìn đi_ngoài Không uống đủ nước . Tác_dụng phụ của một_số loại thuốc Ăn_kiêng Các bệnh về hệ tiêu_hoá Ăn ít chất xơ Lười vận_động Nhìn đi_ngoài Không uống đủ nước . Tác_dụng phụ của một_số loại thuốc Ăn_kiêng Các bệnh về hệ tiêu_hoá Ăn ít chất xơ Lười vận_động Nhìn đi_ngoài Không uống đủ nước .","Anh Quý , 60 tuổi , đến bác_sĩ với triệu_chứng táo_bón kéo_dài . Anh ấy có tiền_sử về bệnh tiểu_đường và đang sử_dụng thuốc để kiểm_soát đường_huyết . Được biết bệnh tiểu_đường cũng có_thể là nguyên_nhân gây nên táo_bón . Còn những nguyên_nhân nào khác có_thể gây nên táo_bón cho bệnh_nhân ?",Ăn ít chất xơ .,Lười vận_động .,Nhịn đi_ngoài .,Ăn_kiêng .,"A , B , C , D."
"Các cặp vợ_chồng khi có kế_hoạch mang thai cần đến gặp bác_sĩ để được tư_vấn về di_truyền . Mẹ cần tránh sử_dụng chất kích_thích , rượu_bia , thuốc_lá trước và trong thời_kỳ mang thai . Hạn_chế các thực_phẩm , các chất_chứa caffeine . Xây_dựng chế_độ dinh_dưỡng hợp_lý , bổ_sung vitamin và khoáng_chất đầy_đủ . Tập_thể_dục nhẹ_nhàng khoảng 30 phút mỗi ngày . Khi sử_dụng thuốc cần phải hỏi ý_kiến bác_sĩ để tránh thuốc có tác_dụng phụ làm thai chậm phát_triển . nan . nan . nan . nan .","Các cặp vợ_chồng khi có kế_hoạch mang thai cần đến gặp bác_sĩ để được tư_vấn về di_truyền . Có nhiều phương_pháp phòng_ngừa , nhưng đâu là những thực_phẩm mà thai_phụ cần tránh ?",Caffein .,Rượu_bia .,Thuốc .,Thuốc_lá .,"A , B."
"Để phòng_ngừa còi_xương cho trẻ , phụ_nữ mang thai cũng cần phải chú_ý chăm_sóc bản_thân và cung_cấp dưỡng_chất đầy_đủ trong suốt thai kỳ , đặc_biệt là những trường_hợp đa thai nhu_cầu thường cao hơn thông_thường . Thực_hiện một chế_độ ăn cân_đối và cho trẻ tắm nắng thường_xuyên vào buổi sáng sẽ giảm nguy_cơ mắc bệnh còi_xương . Đối_với trẻ nhũ nhi thì sữa mẹ là nguồn dinh_dưỡng cân_bằng và có tỷ_lệ Vitamin_D cao hơn hẳn tất_cả các loại sữa công_thức và thực_phẩm bổ_sung khác . Còn khi trẻ đã ăn dặm thì chế_độ dinh_dưỡng cần cân_đối để đảm_bảo bổ_sung các chất Canxi , Photpho là nguyên_liệu tạo nên bộ khung xương . Ở những vùng nhiều sương_mù , ánh_sáng mặt_trời không đủ giúp tổng_hợp Vitamin_D , thì trẻ_em cần phải được bổ_sung Vitamin D3 đường uống . Và để hấp_thu Vitamin_D tốt thì chế_độ ăn của trẻ không được kiêng_khem dầu_mỡ . nan . nan . nan . nan .","Chị Hà , một bà mẹ mới sinh con đầu_lòng , bé An , đang tìm_hiểu về cách chăm_sóc sức_khoẻ và dinh_dưỡng cho con . Chị biết rằng việc cung_cấp đủ Vitamin_D là rất quan_trọng cho sự phát_triển của bé , đặc_biệt là trong những tháng đầu đời . Chị Hà nên áp_dụng những biện_pháp nào để đảm_bảo bé An nhận đủ lượng Vitamin_D cần_thiết ?","Cho bé An bú sữa mẹ , vì đây là nguồn dinh_dưỡng cân_bằng và có tỷ_lệ Vitamin_D cao .",Bổ_sung Vitamin D3 đường uống theo chỉ_định của bác_sĩ nếu cần .,Cho bé An tắm nắng vào buổi sáng sớm để tăng_cường tổng_hợp Vitamin_D từ ánh nắng mặt_trời .,Sử_dụng sữa công_thức và thực_phẩm bổ_sung là nguồn chính của Vitamin_D cho bé .,"A , B , C."
"Có nhiều yếu_tố làm tăng nguy_cơ mắc bệnh mụn rộp , bao_gồm : Đang mắc bệnh : nhiễm_trùng , sốt hoặc cảm lạnh . Phơi nắng lâu . Căng_thẳng , mệt_mỏi . Bệnh HIV / AIDS hoặc các tình_trạng khác gây suy_giảm hệ_thống miễn_dịch . Thay_đổi nồng_độ nội_tiết_tố như khi đang hành_kinh . Bỏng nặng . Bệnh chàm . Đang mắc bệnh ung_thư và điều_trị hoá_trị liệu . Công_việc liên_quan đến nha_khoa . Có vết_thương ngoài da . Phẫu_thuật thẩm_mỹ hoặc điều_trị chiếu tia laser . nan . nan . nan . nan .","Theo nghiên_cứu , khi mắc bệnh mụn rộp lành_tính các nốt mụn sẽ hình_thành ở trên hoặc xung_quanh vùng môi khiến người_bệnh cảm_thấy khó_chịu . Có một_số công_việc có nguy_cơ cao mắc bệnh mụn rộp lành_tính mà chúng_ta cần lưu_ý . Hỏi đó là những công_việc nào sau đây ?",Người thường_xuyên phải làm_việc ở ngoài_trời phơi nắng lâu .,Người làm công_việc liên_quan đến nha_khoa .,Người làm công_việc giáo_viên .,Người làm công_việc văn_phòng .,"A , B."
"Triệu_chứng co thắt thực_quản không đặc_trưng nên dễ làm người_bệnh chủ_quan và nhầm_lẫn với các bệnh_lý thông_thường khác của đường tiêu_hoá . Một_số triệu_chứng giúp gợi_ý bệnh_nhân đang mắc bệnh co thắt thực_quản là : Khó nuốt và đau tức ngực khi nuốt : đây là triệu_chứng nổi_bật nhất . Buồn_nôn , nôn_mửa : các cơ thực_quản hoạt_động không hiệu_quả , co_giãn lộn_xộn có_thể gây ra cảm_giác buồn_nôn và đẩy thức_ăn ngược từ thực quản lên miệng gây nôn . Ợ nóng , ợ hơi . Ho , thở khò_khè . Hôi miệng . Bệnh kéo_dài ảnh_hưởng nhiều đến tổng trạng của người_bệnh , gây sụt cân do người_bệnh ăn_uống khó_khăn và đau khi ăn . nan . nan . nan . nan .",Chị Miên thường_xuyên cảm_thấy buồn_nôn và trào ngược nhưng chỉ cho rằng bản_thân mắc rối_loạn tiêu_hoá thông_thường . Sau khi đến bệnh_viện để khám thì kết quản là co thắt thực_quản đã làm chị hết_sức bất_ngờ . Biểu_hiện nào có_thể giúp bệnh_nhân phân_biệt giữa co thắt thực_quản và các bệnh_lý khác của đường tiêu_hoá ?,Nôn_mửa .,Đau tức ngực .,Ợ hơi .,Hôi miệng .,B.
"Không có biện_pháp điều_trị đặc_hiệu cho bệnh thuỷ_đậu . Việc điều_trị bệnh thường tập_trung vào việc_làm giảm nhẹ các triệu_chứng và giữ bệnh_nhân không bị mất nước . Vì_vậy việc chăm_sóc người_bệnh thuỷ_đậu đóng một vai_trò quan_trọng , cần đảm_bảo : Ăn_uống đầy_đủ chất dinh_dưỡng , ăn các thức_ăn mềm , uống đủ nước , có_thể uống thêm nước_hoa quả . Vệ_sinh mũi họng hằng ngày bằng dung_dịch nước muối sinh_lý . Thay quần_áo và tắm_rửa hằng ngày bằng nước ấm sạch . Tránh gãi làm vỡ các nốt phỏng vì dễ gây bội_nhiễm và tạo sẹo , gây mất thẩm_mỹ , nếu đã vỡ dùng dung_dịch xanh methylen bôi lên . Mặc quần_áo mềm , rộng_rãi , thoáng mát . Sử_dụng các thuốc hạ sốt theo đúng hướng_dẫn nếu sốt cao . Có_thể sử_dụng kháng_sinh nếu có biểu_hiện nhiễm_trùng ở các nốt phỏng hoặc biến_chứng như viêm phổi , viêm não màng não . nan . nan . nan . nan .","Anh Quý , 40 tuổi , đến bác_sĩ với triệu_chứng nặng của bệnh thuỷ_đậu , bao_gồm sốt cao và nhiều phát_ban trên cơ_thể . Anh ta muốn biết về các biện_pháp điều_trị hiệu_quả nhất để làm giảm triệu_chứng và tăng_cường phục_hồi . Biện_pháp điều_trị nào sau đây được khuyến_khích cho bệnh_nhân mắc bệnh thuỷ_đậu ?","Mặc quần_áo mềm , rộng_rãi , thoáng mát .",Thay quần_áo và tắm_rửa hằng ngày bằng nước ấm sạch .,Sử_dụng các thuốc hạ sốt theo đúng hướng_dẫn nếu sốt cao .,Ăn_uống đầy_đủ chất dinh_dưỡng .,"A , B , C , D."
"Nguyên_nhân ung_thư dương_vật bao_gồm : Hẹp bao quy đầu . Đa_số bệnh_nhân ung_thư dương_vật có hẹp bao quy đầu . Hẹp bao quy đầu gây khó_khăn trong việc vệ_sinh , tạo điều_kiện cho các vi_khuẩn , virus phát_triển , dẫn đến nguy_cơ ung_thư dương_vật . Bệnh sùi mào_gà đường_sinh dục : Do virus HPV ( Human_Papilloma ) Sùi mào_gà thường ở vị_trí rãnh quy đầu , bao da và thân dương_vật . Có_thể ở miệng sáo , phần đầu của niệu_đạo trước , da bìu . Nguyên_nhân khác : Viêm dương_vật ( đặc_biệt vùng quy đầu , rãnh quy đầu ) Bệnh lây_truyền qua đường tình_dục như giang_mai . Khối_u lành_tính ở dương_vật ( u mạch_máu . ) . nan . nan . nan . nan .",Hẹp bao quy đầu có_thể được cho là một trong những nguyên_nhân chính gây ra bệnh ung_thư dương_vật . Ngoài nguyên_nhân trên còn các nguyên_nhân nào khác dẫn đến bệnh trên ?,Virus Human_Papilloma .,Bệnh_tình dục .,Viêm dương_vật .,Khối_u lành_tính .,"A , B , C , D."
"Triệu_chứng lâm_sàng bệnh viêm gan A thường không rõ_ràng , dễ nhầm_lẫn với các tác_nhân gây viêm gan khác . Việc chẩn_đoán xác_định bệnh dựa trên xét_nghiệm máu là chủ_yếu . Một mẫu máu tĩnh_mạch sẽ được lấy ra và đi làm xét_nghiệm tìm_kiếm sự hiện_diện của kháng_thể kháng HAV IgM . Một xét_nghiệm chuyên_dụng hơn để phát_hiện vật_chất di_truyền của virus trong máu như PCR giúp chẩn_đoán xác_định bệnh . nan . nan . nan . nan .","Triệu_chứng lâm_sàng bệnh viêm gan A thường không rõ_ràng , dễ nhầm_lẫn với các tác_nhân gây viêm gan khác . Việc chẩn_đoán xác_định bệnh dựa trên xét_nghiệm nào là chủ_yếu ?",MRI gan .,Siêu_âm ổ_bụng .,Xét_nghiệm máu .,X-quang gan mật .,C.
"Nguyên_nhân viêm đại_tràng cấp_tính : Viêm đại_tràng cấp do ngộ_độc thức_ăn , dị_ứng thức_ăn . Do không giữ vệ_sinh an_toàn thực_phẩm và vệ_sinh môi_trường , ăn hoặc uống phải thực_phẩm bị nhiễm vi_sinh_vật gây bệnh . Ký_sinh_trùng hay gặp nhất_là lỵ amip , ngoài_ra còn có giun_đũa , giun_tóc , giun_kim . Vi_khuẩn : lỵ trực_khuẩn ( Shigella ) , vi_khuẩn thương_hàn ( Salmonella ) , vi_khuẩn tả ( Vibrio cholerae ) , vi_khuẩn E. coli , vi_khuẩn lao . Siêu_vi thường gặp là Rotavirus , chủ_yếu ở trẻ_em . Nấm , đặc_biệt là nấm Candida . Viêm loét đại-trực tràng có_thể do bệnh tự miễn . Ngoài_ra , bệnh còn liên_quan đến sinh_hoạt hằng ngày : căng_thẳng , táo_bón kéo_dài , khó tiêu , dùng thuốc kháng_sinh kéo_dài gây loạn khuẩn ruột , Nguyên_nhân viêm đại_tràng mãn_tính . Được chia thành 2 nhóm là viêm đại_tràng mãn có nguyên_nhân và không rõ nguyên_nhân . Bệnh viêm đại_tràng mãn_tính có nguyên_nhân : xuất_hiện sau viêm đại_tràng cấp_tính do nhiễm_trùng , nhiễm ký_sinh_trùng , nhiễm nấm và nhiễm_độc nhưng không được điều_trị dứt_điểm . Bệnh viêm đại_tràng mãn_tính không rõ nguyên_nhân , thường là viêm đại_tràng mãn_tính không đặc_hiệu . nan . nan . nan . nan .",Anh Phong được chẩn_đoán mắc bệnh viêm đại_tràng . Anh hỏi bác_sĩ nguyên_nhân nào đã dẫn đến căn_bệnh này . Lúc này bác_sĩ sẽ trả_lời như_thế_nào ?,Do ngộ_độc thức_ăn .,Không đảm_bảo an_toàn thực_phẩm .,"Do vi_khuẩn , virus .",Táo_bón kéo_dài .,"A , B , C , D."
"Nếu trẻ bị loạn dưỡng cơ Duchenne , phụ_huynh có_thể nhận thấy những dấu_hiệu đầu_tiên trước khi trẻ tròn 6 tuổi . Cơ_bắp ở chân thường là một trong những vị_trí bị ảnh_hưởng đầu_tiên , vì_vậy trẻ có_thể bắt_đầu biết đi muộn hơn nhiều so với những đứa trẻ khác cùng trang_lứa . Tuy_nhiên , khi trẻ có_thể đi bộ thì có_thể ngã xuống thường_xuyên và gặp khó_khăn khi leo cầu_thang hoặc đứng dậy . Sau một_vài năm , trẻ có dáng đi lạch_bạch hoặc đi bằng ngón chân . Theo thời_gian , khả_năng vận_động giảm dần , mất khả_năng tự đi_lại trước tuổi 12 và thường chết ở lứa tuổi 20 vì tổn_thương cơ tim và rối_loạn hô_hấp . Biến_chứng . Bệnh loạn dưỡng cơ Duchenne cũng có_thể làm hỏng tim , phổi và các bộ_phận khác của cơ_thể . Khi lớn lên , trẻ có_thể có các triệu_chứng khác , bao_gồm : Vẹo cột_sống . Cơ_bắp chân ngắn và chắc , gọi là co rút . Nhức đầu . Vấn_đề với học_tập và trí_nhớ . Khó thở . Buồn_ngủ . Khó tập_trung . Các vấn_đề về cơ_bắp có_thể gây ra chuột_rút đôi_khi , nhưng nói_chung , loạn dưỡng cơ Duchenne không đau . Trẻ vẫn sẽ kiểm_soát bàng_quang và ruột của mình , mặc_dù một_số trẻ mắc chứng rối_loạn có vấn_đề về học_tập và hành_vi , loạn dưỡng cơ Duchenne không có ảnh_hưởng đến trí thông_minh của trẻ . nan . nan . nan . nan .","Bé Khiêm sau khi được cha dắt đi khám bệnh ở trung_tâm y_tế gần nhà thì được bác_sĩ chẩn_đoán mắc bệnh loạn dưỡng cơ Duchenne . Bác_sĩ cũng cung_cấp cho anh Duy - cha bé Khiêm một_số thông_tin về triệu_chứng của bệnh loạn dưỡng cơ Duchenne . Vậy nếu trẻ bị loạn dưỡng cơ Duchenne , phụ_huynh có_thể nhận thấy những dấu_hiệu đầu_tiên trước khi trẻ tròn bao_nhiêu tuổi ?",3 tuổi .,12 tuổi .,8 tuổi .,6 tuổi .,D.
